,rate,attraction,reviews,details,attraction_url,reviews_url,uuid
3378,5,3379. Essaouira taxi transfert,Reviews not found,Details not found,/Attraction_Review-g298349-d17531548-Reviews-Essaouira_taxi_transfert-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d17531548-Reviews-Essaouira_taxi_transfert-Essaouira_Marrakech_Safi.html,62715594-95fb-4028-9898-d303d7ddda4f
3379,5,3380. Another Morocco,Reviews not found,Details not found,/Attraction_Review-g293734-d18915614-Reviews-Another_Morocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d18915614-Reviews-Another_Morocco-Marrakech_Marrakech_Safi.html,97dcb753-8abe-4998-b36b-53b93a7e3bce
3380,5,3381. Healinghandskech,Reviews not found,Details not found,/Attraction_Review-g293734-d29013404-Reviews-Healinghandskech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d29013404-Reviews-Healinghandskech-Marrakech_Marrakech_Safi.html,e3803280-6171-45af-ba41-e3c860081e45
3381,5,3382. Daily Marrakech Desert Tours,Reviews not found,Details not found,/Attraction_Review-g293734-d28779543-Reviews-Daily_Marrakech_Desert_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d28779543-Reviews-Daily_Marrakech_Desert_Tours-Marrakech_Marrakech_Safi.html,c58d3147-de33-43e8-ba13-9abca2c76661
3382,5,3383. Agafay Tours Morocco,Reviews not found,Details not found,/Attraction_Review-g293734-d27156323-Reviews-Agafay_Tours_Morocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27156323-Reviews-Agafay_Tours_Morocco-Marrakech_Marrakech_Safi.html,b08ba588-388e-46f0-8e9a-8307bbefc3c6
3383,5,3384. Medi,Reviews not found,Details not found,/Attraction_Review-g293734-d23772063-Reviews-Medi-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23772063-Reviews-Medi-Marrakech_Marrakech_Safi.html,1d3b2a79-4f81-41fe-abac-d01c2b052707
3384,5,3385. Morocco Ocean Horses,Reviews not found,Details not found,/Attraction_Review-g7008805-d27999113-Reviews-Morocco_Ocean_Horses-Sidi_Kaouki_Marrakech_Safi.html,/Attraction_Review-g7008805-d27999113-Reviews-Morocco_Ocean_Horses-Sidi_Kaouki_Marrakech_Safi.html,81cddf56-fa76-443b-8056-919a6c1a571b
3385,5,3386. Wild Travel DMC,Reviews not found,Details not found,/Attraction_Review-g293734-d24984217-Reviews-Wild_Travel_DMC-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d24984217-Reviews-Wild_Travel_DMC-Marrakech_Marrakech_Safi.html,c5d8bbd0-f9a6-4273-811e-249306bc92de
3386,5,3387. Sky Experience Hot Air Balloon Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d27702378-Reviews-Sky_Experience_Hot_Air_Balloon_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27702378-Reviews-Sky_Experience_Hot_Air_Balloon_Marrakech-Marrakech_Marrakech_Safi.html,be56133a-1ca0-449c-882a-bf9ff6e479ba
3387,5,3388. Quad Ichou,Reviews not found,Details not found,/Attraction_Review-g293734-d27820962-Reviews-Quad_Ichou-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27820962-Reviews-Quad_Ichou-Marrakech_Marrakech_Safi.html,463efd90-6923-4dd9-bb20-1803ae6024c1
